0
hour
age
num_screens
location
VerifyPhone
BankVerification
VerifyDateOfBirth
VerifyCountry
Cycle
idscreen
RewardsContainer
Alerts
VerifyMobile
VerifyHousing
ProfileChildren 
VerifyAnnualIncome
Login
lainnya
jumlah_loan
jumlah_credit
